aug_k,aug_path,aug_rms_reproj_px,aug_roll_rad,aug_x_m,aug_y_m,aug_z_m,augtype,base,best_patch_index,best_patch_score_rms_reproj_px,chosen_patch_box,delta_w_angle_deg,delta_x_m,delta_y_m,delta_z_m,idx,orig_path,orig_rms_reproj_px,orig_roll_rad,orig_x_m,orig_y_m,orig_z_m,patch_mode
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_blackbox_1.jpg,354.12530079794,-249.54804710577582,-0.050113049782299704,-0.2888025729311544,0.21572754670457994,blackbox,gt,,,,5.988913593533971,6.366724266158169e-05,0.02149922455719644,0.031394790017650664,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,350.62783250594725,-456.9369085140793,-0.050176717024961286,-0.31030179748835085,0.18433275668692928,False
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_blackbox_2.jpg,358.1986422815969,0.0,5.12885557481307,-5.1288555851668765,-12.18250194715198,blackbox,gt,,,,100.16150654794423,5.179032291838031,-4.818553787678526,-12.36683470383891,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,350.62783250594725,-456.9369085140793,-0.050176717024961286,-0.31030179748835085,0.18433275668692928,False
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_blackbox_3.jpg,354.12530079794,-249.54804710577582,-0.050113049782299704,-0.2888025729311544,0.21572754670457994,blackbox,gt,,,,5.988913593533971,6.366724266158169e-05,0.02149922455719644,0.031394790017650664,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,350.62783250594725,-456.9369085140793,-0.050176717024961286,-0.31030179748835085,0.18433275668692928,False
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_rotation_1.jpg,352.86635829472476,3.100791949223346,5.029043555232137,-4.87538089707923,-12.152000370500263,rotation,gt,,,,101.04889196457337,5.079220272257099,-4.565079099590879,-12.336333127187192,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,350.62783250594725,-456.9369085140793,-0.050176717024961286,-0.31030179748835085,0.18433275668692928,False
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_rotation_2.jpg,357.6107833770099,-0.6529950396793588,6.919089009176009,-1.6590423545093262,-12.599820557677807,rotation,gt,,,,114.12247439554447,6.9692657262009705,-1.3487405570209754,-12.784153314364737,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,350.62783250594725,-456.9369085140793,-0.050176717024961286,-0.31030179748835085,0.18433275668692928,False
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_rotation_3.jpg,408.53140786118536,-24158.541726047028,0.33277268048883046,-0.13604232131575408,-0.005875905205415907,rotation,gt,,,,79.25211034825283,0.38294939751379176,0.17425947617259677,-0.1902086618923452,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,350.62783250594725,-456.9369085140793,-0.050176717024961286,-0.31030179748835085,0.18433275668692928,False
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_translation_1.jpg,355.564572024547,-1.5627419222642258,0.2689746091625252,-6.578856654663347,-9.607977368522128,translation,gt,,,,86.53029789501547,0.3191513261874865,-6.268554857174996,-9.792310125209058,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,350.62783250594725,-456.9369085140793,-0.050176717024961286,-0.31030179748835085,0.18433275668692928,False
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_translation_2.jpg,356.9666391392208,-1.030929331082073,5.214120416654701,-4.989182956247998,-13.04600124984771,translation,gt,,,,101.87871822937761,5.264297133679663,-4.678881158759647,-13.230334006534639,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,350.62783250594725,-456.9369085140793,-0.050176717024961286,-0.31030179748835085,0.18433275668692928,False
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_translation_3.jpg,353.8630074917506,-2.111842257682402,-2.1034527015716256,-7.076945923364767,-11.246366319803649,translation,gt,,,,87.32888791791761,-2.0532759845466644,-6.766644125876416,-11.430699076490578,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,350.62783250594725,-456.9369085140793,-0.050176717024961286,-0.31030179748835085,0.18433275668692928,False
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_moire_blackbox_1.jpg,354.11426960682013,0.7288294316441142,0.13685384152706337,-0.30872599283435226,-0.019580007234617572,blackbox,moire,,,,80.03414755281398,5.286884652954951,3.405839964188295,8.007049100919225,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_moire.jpg,356.99693018009776,1.2551950588668594,-5.150030811427888,-3.7145659570226472,-8.026629108153843,False
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_moire_blackbox_2.jpg,358.1986422815969,0.0,5.12885557481307,-5.1288555851668765,-12.18250194715198,blackbox,moire,,,,51.45488600681562,10.278886386240957,-1.4142896281442292,-4.155872838998137,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_moire.jpg,356.99693018009776,1.2551950588668594,-5.150030811427888,-3.7145659570226472,-8.026629108153843,False
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_moire_blackbox_3.jpg,354.11426960682013,0.7288294316441142,0.13685384152706337,-0.30872599283435226,-0.019580007234617572,blackbox,moire,,,,80.03414755281398,5.286884652954951,3.405839964188295,8.007049100919225,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_moire.jpg,356.99693018009776,1.2551950588668594,-5.150030811427888,-3.7145659570226472,-8.026629108153843,False
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_moire_rotation_1.jpg,352.5536949681846,-3.0635736676376113,2.4088097085690077,-6.214626127926322,-9.985271056782706,rotation,moire,,,,42.335865532461725,7.558840519996895,-2.5000601709036747,-1.9586419486288627,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_moire.jpg,356.99693018009776,1.2551950588668594,-5.150030811427888,-3.7145659570226472,-8.026629108153843,False
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_moire_rotation_2.jpg,357.4734311192553,0.8411919404818398,-2.426334922360773,-7.016841914271897,-12.033385780982606,rotation,moire,,,,20.948067217221237,2.723695889067115,-3.3022759572492495,-4.006756672828763,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_moire.jpg,356.99693018009776,1.2551950588668594,-5.150030811427888,-3.7145659570226472,-8.026629108153843,False
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_moire_rotation_3.jpg,354.3440432223111,2.0662747614430157,-3.4923578514384452,-6.097455295337859,-11.035281943773878,rotation,moire,,,,15.199321798668185,1.6576729599894424,-2.382889338315212,-3.008652835620035,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_moire.jpg,356.99693018009776,1.2551950588668594,-5.150030811427888,-3.7145659570226472,-8.026629108153843,False
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_moire_translation_1.jpg,380.9754531029956,-1567.4524057480792,-0.18277393273281206,6.707698976638365e-05,0.29150685807577903,translation,moire,,,,113.40455470832282,4.967256878695076,3.714633034012414,8.318135966229622,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_moire.jpg,356.99693018009776,1.2551950588668594,-5.150030811427888,-3.7145659570226472,-8.026629108153843,False
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_moire_translation_2.jpg,355.8029522721348,-1.5331075514000607,5.290125794836143,-5.178348305859473,-12.706097877902591,translation,moire,,,,51.359913390629885,10.440156606264031,-1.4637823488368253,-4.679468769748748,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_moire.jpg,356.99693018009776,1.2551950588668594,-5.150030811427888,-3.7145659570226472,-8.026629108153843,False
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_moire_translation_3.jpg,353.6908156051307,-2.18840874756938,-3.203001901814284,-6.6973038874456225,-11.671020951888819,translation,moire,,,,17.44845905156914,1.9470289096136035,-2.9827379304229753,-3.644391843734976,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_moire.jpg,356.99693018009776,1.2551950588668594,-5.150030811427888,-3.7145659570226472,-8.026629108153843,False
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_gt_blackbox_1.jpg,373.71809054959465,1.6162557912177082,-0.13145624403789113,0.00028152328724953286,0.2742047552642015,blackbox,gt,,,,4.964916768657043,0.022250011695970462,-0.006918838026016643,0.012263503266856435,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_gt.jpg,365.37200692251423,0.2868546862288769,-0.1537062557338616,0.007200361313266176,0.2619412519973451,False
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_gt_blackbox_2.jpg,358.1986422815969,0.0,5.12885557481307,-5.1288555851668765,-12.18250194715198,blackbox,gt,,,,158.8218002323168,5.282561830546931,-5.136055946480143,-12.444443199149326,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_gt.jpg,365.37200692251423,0.2868546862288769,-0.1537062557338616,0.007200361313266176,0.2619412519973451,False
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_gt_blackbox_3.jpg,373.71809054959465,1.6162557912177082,-0.13145624403789113,0.00028152328724953286,0.2742047552642015,blackbox,gt,,,,4.964916768657043,0.022250011695970462,-0.006918838026016643,0.012263503266856435,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_gt.jpg,365.37200692251423,0.2868546862288769,-0.1537062557338616,0.007200361313266176,0.2619412519973451,False
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_gt_rotation_1.jpg,372.4530792272079,-0.26880807922767136,-0.0846712797434685,0.02509761871381542,0.3112926608529577,rotation,gt,,,,15.478183359646989,0.0690349759903931,0.017897257400549243,0.04935140885561262,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_gt.jpg,365.37200692251423,0.2868546862288769,-0.1537062557338616,0.007200361313266176,0.2619412519973451,False
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_gt_rotation_2.jpg,353.9070467889145,2.13165291565446,0.6043095086734769,5.821932680943852,-8.31956352582018,rotation,gt,,,,136.19371907764463,0.7580157644073384,5.814732319630585,-8.581504777817527,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_gt.jpg,365.37200692251423,0.2868546862288769,-0.1537062557338616,0.007200361313266176,0.2619412519973451,False
